date,open,high,low,close,adjClose,volume
2023-03-08,4115.500000,4868.637207,4091.291016,4124.000000,4051.673584,12437490
2023-03-09,4124.000000,4129.500000,4098.000000,4112.000000,4039.883789,4487959
2023-03-10,4092.000000,4132.000000,4053.000000,4069.000000,3997.637939,2573576
2023-03-13,4068.000000,4112.000000,4026.000000,4056.000000,3984.865967,7201252
2023-03-14,4041.000000,4073.000000,4019.000000,4073.000000,4001.567871,3985804
2023-03-15,4074.500000,4085.000000,4021.000000,4040.500000,3969.637695,3940434
2023-03-16,4071.500000,4146.000000,4063.000000,4087.000000,4015.322266,4225088
2023-03-17,4087.000000,4101.659180,4033.000000,4047.500000,3976.515137,11615093
2023-03-20,4037.500000,4087.500000,4033.000000,4082.500000,4010.901123,3057641
2023-03-21,4097.000000,4141.000000,4087.500000,4130.000000,4057.568115,4157497
2023-03-22,4117.500000,4209.000000,4114.500000,4202.500000,4128.796387,5010876
2023-03-23,4207.000000,4209.500000,4156.000000,4172.500000,4099.322754,4577858
2023-03-24,4163.000000,4220.500000,4142.000000,4197.000000,4123.393066,3716307
2023-03-27,4218.000000,4242.000000,4202.359863,4220.500000,4146.480957,2989289
2023-03-28,4213.500000,4251.750000,4201.500000,4213.000000,4139.112793,4837899
2023-03-29,4201.500000,4236.000000,4198.500000,4207.000000,4133.217285,2515168
2023-03-30,4208.000000,4215.000000,4161.665039,4192.500000,4118.972168,3487794
2023-03-31,4192.500000,4245.000000,4177.399902,4190.000000,4116.516113,5384182
2023-04-03,4201.500000,4232.500000,4175.500000,4232.500000,4158.270508,2717881
2023-04-04,4248.500000,4259.000000,4222.500000,4223.500000,4149.428223,5825908
2023-04-05,4233.000000,4288.500000,4222.500000,4288.500000,4213.288086,3772390
2023-04-06,4278.000000,4329.000000,4266.500000,4307.500000,4231.955078,3117901
2023-04-11,4306.000000,4314.500000,4274.000000,4297.000000,4221.639648,2920574
2023-04-12,4297.500000,4314.500000,4284.500000,4292.000000,4216.727051,2899631
2023-04-13,4294.000000,4316.000000,4287.500000,4316.000000,4240.305664,3189538
2023-04-14,4324.000000,4328.000000,4294.745117,4310.000000,4234.411133,3297701
2023-04-17,4320.500000,4363.750977,4307.500000,4357.000000,4280.586914,3428905
2023-04-18,4336.500000,4339.287109,4312.000000,4334.500000,4258.481445,4583381
2023-04-19,4331.500000,4360.000000,4325.500000,4341.500000,4265.358887,3389257
2023-04-20,4342.000000,4365.000000,4325.000000,4362.000000,4285.499023,2724755
2023-04-21,4365.000000,4421.000000,4365.000000,4392.000000,4314.973145,3808146
2023-04-24,4393.000000,4398.000000,4368.500000,4388.000000,4311.043457,5328225
2023-04-25,4371.500000,4418.750000,4365.000000,4416.000000,4338.552246,3777560
2023-04-26,4412.500000,4418.350098,4371.500000,4371.500000,4294.832520,4443072
2023-04-27,4430.500000,4466.004883,4418.000000,4431.500000,4353.780762,4829819
2023-04-28,4475.000000,4483.250000,4423.500000,4436.500000,4358.692871,5111793
2023-05-02,4440.000000,4466.101074,4411.500000,4443.500000,4365.569824,4194195
2023-05-03,4456.000000,4479.500000,4433.000000,4437.500000,4359.675293,3370101
2023-05-04,4428.000000,4428.375000,4392.500000,4406.000000,4328.727539,4327279
2023-05-05,4414.500000,4440.500000,4380.335938,4399.000000,4321.850586,3086059
2023-05-09,4399.000000,4407.500000,4351.500000,4368.500000,4291.885254,6040910
2023-05-10,4346.000000,4350.000000,4266.500000,4292.500000,4217.218262,3942968
2023-05-11,4294.500000,4347.500000,4294.500000,4339.500000,4263.393555,2906938
2023-05-12,4345.000000,4366.850098,4316.000000,4353.500000,4277.148438,3380867
2023-05-15,4371.000000,4378.000000,4326.000000,4334.000000,4257.990234,2113674
2023-05-16,4338.500000,4361.399902,4325.500000,4343.000000,4266.832520,3607212
2023-05-17,4330.000000,4366.500000,4300.500000,4315.000000,4239.323242,3895422
2023-05-18,4290.000000,4315.000000,4262.084961,4265.000000,4227.261230,3584813
2023-05-19,4272.000000,4293.000000,4261.500000,4271.000000,4233.208008,3851392
2023-05-22,4280.500000,4291.000000,4224.500000,4229.000000,4191.579590,5779303
2023-05-23,4217.500000,4236.500000,4209.500000,4216.000000,4178.694824,4003224
2023-05-24,4188.000000,4197.500000,4134.000000,4172.000000,4135.083984,3889479
2023-05-25,4175.500000,4175.500000,4131.500000,4167.500000,4130.624023,3327432
2023-05-26,4156.500000,4178.500000,4137.500000,4169.000000,4132.110840,4435669
2023-05-30,4163.500000,4168.000000,4030.500000,4045.000000,4009.207764,4558011
2023-05-31,4011.000000,4081.500000,4008.500000,4029.000000,3993.349365,12545232
2023-06-01,4046.000000,4062.000000,4017.000000,4018.000000,3982.446777,4723617
2023-06-02,4026.000000,4056.500000,4019.500000,4056.500000,4020.606201,5095705
2023-06-05,4089.500000,4104.500000,4053.500000,4071.000000,4034.977783,3498794
2023-06-06,4044.500000,4064.590088,4039.000000,4044.500000,4008.712402,3357651
2023-06-07,4039.500000,4069.000000,4017.000000,4025.000000,3989.384766,2685391
2023-06-08,4008.500000,4026.499023,3991.250000,3999.500000,3964.110352,5358094
2023-06-09,4022.500000,4022.500000,3946.291016,3970.000000,3934.871582,3620845
2023-06-12,3993.500000,4003.500000,3979.500000,3996.000000,3960.641357,3899515
2023-06-13,3992.000000,3999.500000,3934.500000,3965.500000,3930.411377,5696629
2023-06-14,3973.000000,3982.502930,3947.499023,3967.500000,3932.393555,5722625
2023-06-15,3975.500000,4033.500000,3969.000000,4021.000000,3985.420166,7540001
2023-06-16,4028.000000,4071.614990,4016.500000,4059.500000,4023.579590,12988833
2023-06-19,4051.000000,4070.500000,4023.000000,4034.000000,3998.305176,6517291
2023-06-20,4026.000000,4081.500000,4020.000000,4055.000000,4019.119385,2988239
2023-06-21,4012.000000,4072.500000,4012.000000,4070.000000,4033.986572,2493425
2023-06-22,4044.500000,4061.000000,4018.000000,4057.000000,4021.101563,4418856
2023-06-23,4060.000000,4090.000000,4050.000000,4090.000000,4053.809570,3400491
2023-06-26,4080.000000,4082.500000,4050.989990,4060.000000,4024.075195,4036345
